num_threads;nx;result;seconds
1;512;0.0402737;3.03805
2;512;0.0402737;1.65323
3;512;0.0402737;1.33411
4;512;0.0402737;1.2045
5;512;0.0402737;1.06652
6;512;0.0402737;0.943874
7;512;0.040274;1.06279
8;512;0.0402752;1.64612
1;1024;0.0578281;13.2117
2;1024;0.0578281;7.61398
3;1024;0.0578281;5.84058
4;1024;0.0578281;5.96501
5;1024;0.0578281;5.78417
6;1024;0.0578281;5.01877
7;1024;0.0578282;4.29618
8;1024;0.0578281;5.66461
1;2048;0.0820855;63.7573
2;2048;0.0820855;39.8504
3;2048;0.0820855;30.4306
4;2048;0.0820855;24.903
5;2048;0.0820855;23.0973
6;2048;0.0820855;21.6426
7;2048;0.0820855;20.5203
8;2048;0.0820856;24.0697
